/home/samuele.angheben/vr_env/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
Loaded dataset with categories: ['Faces', 'Faces_easy', 'Leopards', 'Motorbikes', 'accordion', 'airplanes', 'anchor', 'ant', 'barrel', 'bass', 'beaver', 'binocular', 'bonsai', 'brain', 'brontosaurus', 'buddha', 'butterfly', 'camera', 'cannon', 'car_side', 'ceiling_fan', 'cellphone', 'chair', 'chandelier', 'cougar_body', 'cougar_face', 'crab', 'crayfish', 'crocodile', 'crocodile_head', 'cup', 'dalmatian', 'dollar_bill', 'dolphin', 'dragonfly', 'electric_guitar', 'elephant', 'emu', 'euphonium', 'ewer', 'ferry', 'flamingo', 'flamingo_head', 'garfield', 'gerenuk', 'gramophone', 'grand_piano', 'hawksbill', 'headphone', 'hedgehog', 'helicopter', 'ibis', 'inline_skate', 'joshua_tree', 'kangaroo', 'ketch', 'lamp', 'laptop', 'llama', 'lobster', 'lotus', 'mandolin', 'mayfly', 'menorah', 'metronome', 'minaret', 'nautilus', 'octopus', 'okapi', 'pagoda', 'panda', 'pigeon', 'pizza', 'platypus', 'pyramid', 'revolver', 'rhino', 'rooster', 'saxophone', 'schooner', 'scissors', 'scorpion', 'sea_horse', 'snoopy', 'soccer_ball', 'stapler', 'starfish', 'stegosaurus', 'stop_sign', 'strawberry', 'sunflower', 'tick', 'trilobite', 'umbrella', 'watch', 'water_lilly', 'wheelchair', 'wild_cat', 'windsor_chair', 'wrench', 'yin_yang']
 Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s] Loading checkpoint shards:  50%|█████     | 1/2 [00:00<00:00,  1.44it/s] Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.66it/s] Loading checkpoint shards: 100%|██████████| 2/2 [00:01<00:00,  1.62it/s]
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
[prompt3] Example 1296: label=emu, prediction=Emu bird [✓ CORRECT]
[prompt3] Example 1297: label=emu, prediction=Emu bird [✓ CORRECT]
[prompt3] Example 1298: label=emu, prediction=Ostrich bird [✗ WRONG]
[prompt3] Example 1299: label=emu, prediction=Emu [✓ CORRECT]
[prompt3] Example 1300: label=emu, prediction=Emu chick [✓ CORRECT]
[prompt3] Example 1301: label=euphonium, prediction=Tuba instrument. [✗ WRONG]
[prompt3] Example 1302: label=euphonium, prediction=tuba [✗ WRONG]
[prompt3] Example 1303: label=euphonium, prediction=Tuba instrument drawing. [✗ WRONG]
[prompt3] Example 1304: label=euphonium, prediction=Trumpet player [✗ WRONG]
[prompt3] Example 1305: label=euphonium, prediction=tuba [✗ WRONG]
[prompt3] Example 1306: label=euphonium, prediction=Tuba [✗ WRONG]
[prompt3] Example 1307: label=euphonium, prediction=tuba [✗ WRONG]
[prompt3] Example 1308: label=euphonium, prediction=French horn [✗ WRONG]
[prompt3] Example 1309: label=euphonium, prediction=trombone case [✗ WRONG]
[prompt3] Example 1310: label=euphonium, prediction=tuba [✗ WRONG]
[prompt3] Example 1311: label=euphonium, prediction=Trumpet [✗ WRONG]
[prompt3] Example 1312: label=euphonium, prediction=tuba [✗ WRONG]
[prompt3] Example 1313: label=euphonium, prediction=French horn [✗ WRONG]
[prompt3] Example 1314: label=euphonium, prediction=Marching band instruments. [✗ WRONG]
[prompt3] Example 1315: label=euphonium, prediction=Trumpet [✗ WRONG]
[prompt3] Example 1316: label=euphonium, prediction=tuba in case [✗ WRONG]
[prompt3] Example 1317: label=euphonium, prediction=Trombone [✗ WRONG]
[prompt3] Example 1318: label=euphonium, prediction=Tuba instrument. [✗ WRONG]
[prompt3] Example 1319: label=euphonium, prediction=tuba [✗ WRONG]
[prompt3] Example 1320: label=ewer, prediction=Vase with handle [✗ WRONG]
[prompt3] Example 1321: label=ewer, prediction=Silver pitcher [✗ WRONG]
[prompt3] Example 1322: label=ewer, prediction=silver pitcher [✗ WRONG]
[prompt3] Example 1323: label=ewer, prediction=Vase with ship design. [✗ WRONG]
[prompt3] Example 1324: label=ewer, prediction=Porcelain pitcher [✗ WRONG]
[prompt3] Example 1325: label=ewer, prediction=vase [✗ WRONG]
[prompt3] Example 1326: label=ewer, prediction=Silver goblet [✗ WRONG]
[prompt3] Example 1327: label=ewer, prediction=Porcelain pitcher and bowl. [✗ WRONG]
[prompt3] Example 1328: label=ewer, prediction=Teapot [✗ WRONG]
[prompt3] Example 1329: label=ewer, prediction=Blue and white pitcher [✗ WRONG]
[prompt3] Example 1330: label=ewer, prediction=Olive oil pitcher [✗ WRONG]
[prompt3] Example 1331: label=ewer, prediction=Teapot with flower design. [✗ WRONG]
[prompt3] Example 1332: label=ewer, prediction=pitcher and bowl [✗ WRONG]
[prompt3] Example 1333: label=ewer, prediction=vase [✗ WRONG]
[prompt3] Example 1334: label=ewer, prediction=Coffee pot [✗ WRONG]
[prompt3] Example 1335: label=ewer, prediction=bowl and pitcher [✗ WRONG]
[prompt3] Example 1336: label=ewer, prediction=Porcelain pitcher [✗ WRONG]
[prompt3] Example 1337: label=ewer, prediction=vase [✗ WRONG]
[prompt3] Example 1338: label=ewer, prediction=Porcelain pitcher. [✗ WRONG]
[prompt3] Example 1339: label=ewer, prediction=Ancient vase [✗ WRONG]
[prompt3] Example 1340: label=ewer, prediction=vase with flowers [✗ WRONG]
[prompt3] Example 1341: label=ewer, prediction=vase [✗ WRONG]
[prompt3] Example 1342: label=ewer, prediction=vase with flowers [✗ WRONG]
[prompt3] Example 1343: label=ewer, prediction=silver pitcher [✗ WRONG]
[prompt3] Example 1344: label=ewer, prediction=vase [✗ WRONG]
[prompt3] Example 1345: label=ewer, prediction=vase with flowers [✗ WRONG]
[prompt3] Example 1346: label=ferry, prediction=Ferry boat [✓ CORRECT]
[prompt3] Example 1347: label=ferry, prediction=ship [✗ WRONG]
[prompt3] Example 1348: label=ferry, prediction=boat [✗ WRONG]
[prompt3] Example 1349: label=ferry, prediction=Toy cruise ship model. [✗ WRONG]
[prompt3] Example 1350: label=ferry, prediction=Motor boat [✗ WRONG]
[prompt3] Example 1351: label=ferry, prediction=Ferry boat [✓ CORRECT]
[prompt3] Example 1352: label=ferry, prediction=navy ship [✗ WRONG]
[prompt3] Example 1353: label=ferry, prediction=Boat at dock [✗ WRONG]
[prompt3] Example 1354: label=ferry, prediction=ferry boat [✓ CORRECT]
[prompt3] Example 1355: label=ferry, prediction=boat [✗ WRONG]
[prompt3] Example 1356: label=ferry, prediction=ferry boat [✓ CORRECT]
[prompt3] Example 1357: label=ferry, prediction=Ferry ship [✓ CORRECT]
[prompt3] Example 1358: label=ferry, prediction=boat on water [✗ WRONG]
[prompt3] Example 1359: label=ferry, prediction=ferry boat [✓ CORRECT]
[prompt3] Example 1360: label=ferry, prediction=ship [✗ WRONG]
[prompt3] Example 1361: label=ferry, prediction=Ferry ship [✓ CORRECT]
[prompt3] Example 1362: label=ferry, prediction=Ferry boat [✓ CORRECT]
[prompt3] Example 1363: label=ferry, prediction=boat [✗ WRONG]
[prompt3] Example 1364: label=ferry, prediction=cargo ship [✗ WRONG]
[prompt3] Example 1365: label=ferry, prediction=Ferry boat [✓ CORRECT]
[prompt3] Example 1366: label=flamingo, prediction=Flamingos standing [✗ WRONG]
[prompt3] Example 1367: label=flamingo, prediction=Flamingos standing in grass. [✗ WRONG]
[prompt3] Example 1368: label=flamingo, prediction=Flamingo statue [✓ CORRECT]
[prompt3] Example 1369: label=flamingo, prediction=Flamingo standing in water. [✓ CORRECT]
[prompt3] Example 1370: label=flamingo, prediction=Flamingo bird [✓ CORRECT]
[prompt3] Example 1371: label=flamingo, prediction=Flamingo standing on one leg. [✓ CORRECT]
[prompt3] Example 1372: label=flamingo, prediction=Flamingos [✗ WRONG]
[prompt3] Example 1373: label=flamingo, prediction=Flamingo statue [✓ CORRECT]
[prompt3] Example 1374: label=flamingo, prediction=Flamingo bird [✓ CORRECT]
[prompt3] Example 1375: label=flamingo, prediction=Flamingo bird [✓ CORRECT]
[prompt3] Example 1376: label=flamingo, prediction=Flamingo bird [✓ CORRECT]
[prompt3] Example 1377: label=flamingo, prediction=Flamingo statue [✓ CORRECT]
[prompt3] Example 1378: label=flamingo, prediction=Flamingo standing in water. [✓ CORRECT]
[prompt3] Example 1379: label=flamingo, prediction=Pink flamingo painting [✓ CORRECT]
[prompt3] Example 1380: label=flamingo, prediction=Flamingo standing in water. [✓ CORRECT]
[prompt3] Example 1381: label=flamingo, prediction=Flamingo bird [✓ CORRECT]
[prompt3] Example 1382: label=flamingo, prediction=Flamingo statue [✓ CORRECT]
[prompt3] Example 1383: label=flamingo, prediction=Flamingo statue [✓ CORRECT]
[prompt3] Example 1384: label=flamingo, prediction=Flamingo statue [✓ CORRECT]
[prompt3] Example 1385: label=flamingo, prediction=Flamingo statue [✓ CORRECT]
[prompt3] Example 1386: label=flamingo_head, prediction=Flamingo bird [✗ WRONG]
[prompt3] Example 1387: label=flamingo_head, prediction=Flamingo bird [✗ WRONG]
[prompt3] Example 1388: label=flamingo_head, prediction=Flamingo Internet Post [✗ WRONG]
[prompt3] Example 1389: label=flamingo_head, prediction=Flamingo bird [✗ WRONG]
[prompt3] Example 1390: label=flamingo_head, prediction=Flamingo mosaic art. [✗ WRONG]
[prompt3] Example 1391: label=flamingo_head, prediction=Flamingo head [✓ CORRECT]
[prompt3] Example 1392: label=flamingo_head, prediction=Flamingo [✗ WRONG]
[prompt3] Example 1393: label=flamingo_head, prediction=Flamingo bird [✗ WRONG]
[prompt3] Example 1394: label=flamingo_head, prediction=Flamingo bird [✗ WRONG]
[prompt3] Example 1395: label=flamingo_head, prediction=Flamingo drinking [✗ WRONG]
[prompt3] Example 1396: label=flamingo_head, prediction=Flamingo head [✓ CORRECT]
[prompt3] Example 1397: label=flamingo_head, prediction=Flamingo bird [✗ WRONG]
[prompt3] Example 1398: label=flamingo_head, prediction=Pink flamingo statue [✗ WRONG]
[prompt3] Example 1399: label=flamingo_head, prediction=Flamingo head [✓ CORRECT]
[prompt3] Example 1400: label=garfield, prediction=Garfield cartoon cat. [✓ CORRECT]
[prompt3] Example 1401: label=garfield, prediction=Garfield plush toy [✓ CORRECT]
[prompt3] Example 1402: label=garfield, prediction=Garfield cartoon cat [✓ CORRECT]
[prompt3] Example 1403: label=garfield, prediction=Garfield cartoon cat [✓ CORRECT]
[prompt3] Example 1404: label=garfield, prediction=Garfield Halloween costume [✓ CORRECT]
[prompt3] Example 1405: label=garfield, prediction=Garfield drawing. [✓ CORRECT]
[prompt3] Example 1406: label=garfield, prediction=Garfield greeting card [✓ CORRECT]
[prompt3] Example 1407: label=garfield, prediction=Garfield cartoon drawing. [✓ CORRECT]
[prompt3] Example 1408: label=garfield, prediction=Garfield cartoon cat [✓ CORRECT]
[prompt3] Example 1409: label=garfield, prediction=Garfield cartoon cat [✓ CORRECT]
[prompt3] Example 1410: label=gerenuk, prediction=antelope [✗ WRONG]
[prompt3] Example 1411: label=gerenuk, prediction=antelope [✗ WRONG]
[prompt3] Example 1412: label=gerenuk, prediction=gazelle [✗ WRONG]
[prompt3] Example 1413: label=gerenuk, prediction=Caracal cat [✗ WRONG]
[prompt3] Example 1414: label=gerenuk, prediction=Long-legged antelope [✗ WRONG]
[prompt3] Example 1415: label=gerenuk, prediction=Deer climbing tree [✗ WRONG]
[prompt3] Example 1416: label=gerenuk, prediction=Antelope in grassland [✗ WRONG]
[prompt3] Example 1417: label=gerenuk, prediction=Jumping deer [✗ WRONG]
[prompt3] Example 1418: label=gerenuk, prediction=gazelle [✗ WRONG]
[prompt3] Example 1419: label=gerenuk, prediction=Gazelle in grass [✗ WRONG]
[prompt3] Example 1420: label=gramophone, prediction=Gramophone horn [✓ CORRECT]
[prompt3] Example 1421: label=gramophone, prediction=gramophone [✓ CORRECT]
[prompt3] Example 1422: label=gramophone, prediction=Gramophone [✓ CORRECT]
[prompt3] Example 1423: label=gramophone, prediction=Gramophone record player [✓ CORRECT]
[prompt3] Example 1424: label=gramophone, prediction=Gramophone horn [✓ CORRECT]
[prompt3] Example 1425: label=gramophone, prediction=Gramophone record player [✓ CORRECT]
[prompt3] Example 1426: label=gramophone, prediction=gramophone [✓ CORRECT]
[prompt3] Example 1427: label=gramophone, prediction=Gramophone [✓ CORRECT]
[prompt3] Example 1428: label=gramophone, prediction=gramophone horn [✓ CORRECT]
[prompt3] Example 1429: label=gramophone, prediction=Gramophone record player [✓ CORRECT]
[prompt3] Example 1430: label=gramophone, prediction=phonograph [✗ WRONG]
[prompt3] Example 1431: label=gramophone, prediction=gramophone [✓ CORRECT]
[prompt3] Example 1432: label=gramophone, prediction=record player [✗ WRONG]
[prompt3] Example 1433: label=gramophone, prediction=Dog listening to gramophone [✓ CORRECT]
[prompt3] Example 1434: label=gramophone, prediction=Gramophone player [✓ CORRECT]
[prompt3] Example 1435: label=grand_piano, prediction=Grand piano [✓ CORRECT]
[prompt3] Example 1436: label=grand_piano, prediction=Grand piano quote. [✓ CORRECT]
[prompt3] Example 1437: label=grand_piano, prediction=Grand piano [✓ CORRECT]
[prompt3] Example 1438: label=grand_piano, prediction=Grand piano [✓ CORRECT]
[prompt3] Example 1439: label=grand_piano, prediction=Electronic piano [✗ WRONG]
[prompt3] Example 1440: label=grand_piano, prediction=Piano and stool [✗ WRONG]
[prompt3] Example 1441: label=grand_piano, prediction=Piano and bench [✗ WRONG]
[prompt3] Example 1442: label=grand_piano, prediction=Grand piano [✓ CORRECT]
[prompt3] Example 1443: label=grand_piano, prediction=Grand piano [✓ CORRECT]
[prompt3] Example 1444: label=grand_piano, prediction=Grand piano [✓ CORRECT]
[prompt3] Example 1445: label=grand_piano, prediction=Grand piano [✓ CORRECT]
[prompt3] Example 1446: label=grand_piano, prediction=Piano stool [✗ WRONG]
[prompt3] Example 1447: label=grand_piano, prediction=Grand piano [✓ CORRECT]
[prompt3] Example 1448: label=grand_piano, prediction=piano [✗ WRONG]
[prompt3] Example 1449: label=grand_piano, prediction=Grand piano [✓ CORRECT]
[prompt3] Example 1450: label=grand_piano, prediction=piano [✗ WRONG]
[prompt3] Example 1451: label=grand_piano, prediction=Grand piano [✓ CORRECT]
[prompt3] Example 1452: label=grand_piano, prediction=Digital piano [✗ WRONG]
[prompt3] Example 1453: label=grand_piano, prediction=Grand piano [✓ CORRECT]
[prompt3] Example 1454: label=grand_piano, prediction=Grand piano [✓ CORRECT]
[prompt3] Example 1455: label=grand_piano, prediction=Piano with music stand [✗ WRONG]
[prompt3] Example 1456: label=grand_piano, prediction=Grand Piano [✓ CORRECT]
[prompt3] Example 1457: label=grand_piano, prediction=Miniature piano [✗ WRONG]
[prompt3] Example 1458: label=grand_piano, prediction=Grand piano [✓ CORRECT]
[prompt3] Example 1459: label=grand_piano, prediction=Grand piano [✓ CORRECT]
[prompt3] Example 1460: label=grand_piano, prediction=piano [✗ WRONG]
[prompt3] Example 1461: label=grand_piano, prediction=Grand piano [✓ CORRECT]
[prompt3] Example 1462: label=grand_piano, prediction=Grand piano [✓ CORRECT]
[prompt3] Example 1463: label=grand_piano, prediction=Grand piano [✓ CORRECT]
[prompt3] Example 1464: label=hawksbill, prediction=Turtle swimming in water [✗ WRONG]
[prompt3] Example 1465: label=hawksbill, prediction=Sea turtle. [✗ WRONG]
[prompt3] Example 1466: label=hawksbill, prediction=Sea turtle swimming [✗ WRONG]
[prompt3] Example 1467: label=hawksbill, prediction=turtle swimming in water [✗ WRONG]
[prompt3] Example 1468: label=hawksbill, prediction=Turtle on reef [✗ WRONG]
[prompt3] Example 1469: label=hawksbill, prediction=Turtle swimming [✗ WRONG]
[prompt3] Example 1470: label=hawksbill, prediction=Sea turtle swimming [✗ WRONG]
[prompt3] Example 1471: label=hawksbill, prediction=Turtle toy [✗ WRONG]
[prompt3] Example 1472: label=hawksbill, prediction=turtle swimming [✗ WRONG]
[prompt3] Example 1473: label=hawksbill, prediction=Sea turtle in coral reef. [✗ WRONG]
[prompt3] Example 1474: label=hawksbill, prediction=Green sea turtle [✗ WRONG]
[prompt3] Example 1475: label=hawksbill, prediction=Sea turtle swimming in ocean. [✗ WRONG]
[prompt3] Example 1476: label=hawksbill, prediction=turtle [✗ WRONG]
[prompt3] Example 1477: label=hawksbill, prediction=Sea turtle swimming. [✗ WRONG]
[prompt3] Example 1478: label=hawksbill, prediction=Sea turtle illustration [✗ WRONG]
[prompt3] Example 1479: label=hawksbill, prediction=Sea turtle at night. [✗ WRONG]
[prompt3] Example 1480: label=hawksbill, prediction=Sea turtle swimming in water. [✗ WRONG]
[prompt3] Example 1481: label=hawksbill, prediction=Sea turtle swimming. [✗ WRONG]
[prompt3] Example 1482: label=hawksbill, prediction=Sea turtle swimming [✗ WRONG]
[prompt3] Example 1483: label=hawksbill, prediction=Turtle on rocks [✗ WRONG]
[prompt3] Example 1484: label=hawksbill, prediction=Turtle on beach [✗ WRONG]
[prompt3] Example 1485: label=hawksbill, prediction=Sea turtle swimming [✗ WRONG]
[prompt3] Example 1486: label=hawksbill, prediction=turtle swimming [✗ WRONG]
[prompt3] Example 1487: label=hawksbill, prediction=Sea turtle swimming in ocean [✗ WRONG]
[prompt3] Example 1488: label=hawksbill, prediction=Hawksbill Sea Turtle [✓ CORRECT]
[prompt3] Example 1489: label=hawksbill, prediction=Turtle and diver [✗ WRONG]
[prompt3] Example 1490: label=hawksbill, prediction=Sea turtle swimming in ocean. [✗ WRONG]
[prompt3] Example 1491: label=hawksbill, prediction=Sea turtle swimming. [✗ WRONG]
[prompt3] Example 1492: label=hawksbill, prediction=turtle [✗ WRONG]
[prompt3] Example 1493: label=hawksbill, prediction=Turtle shell model [✗ WRONG]
[prompt3] Example 1494: label=headphone, prediction=headset with microphone [✗ WRONG]
[prompt3] Example 1495: label=headphone, prediction=Headphones. [✗ WRONG]
[prompt3] Example 1496: label=headphone, prediction=Headphones [✗ WRONG]
[prompt3] Example 1497: label=headphone, prediction=Headphones with microphone [✗ WRONG]
[prompt3] Example 1498: label=headphone, prediction=Headphones with microphone [✗ WRONG]
[prompt3] Example 1499: label=headphone, prediction=Headphones with microphone. [✗ WRONG]
[prompt3] Example 1500: label=headphone, prediction=Headphones with cable. [✗ WRONG]
[prompt3] Example 1501: label=headphone, prediction=Headphones [✗ WRONG]
[prompt3] Example 1502: label=headphone, prediction=Headset with microphone [✗ WRONG]
[prompt3] Example 1503: label=headphone, prediction=Headphones with microphone [✗ WRONG]
[prompt3] Example 1504: label=headphone, prediction=Wireless Intercom System [✗ WRONG]
[prompt3] Example 1505: label=headphone, prediction=Dog training collar [✗ WRONG]
[prompt3] Example 1506: label=headphone, prediction=Headphones. [✗ WRONG]
[prompt3] Example 1507: label=hedgehog, prediction=Hedgehog on mat [✓ CORRECT]
[prompt3] Example 1508: label=hedgehog, prediction=Hedgehog on carpet [✓ CORRECT]
[prompt3] Example 1509: label=hedgehog, prediction=Hedgehog [✓ CORRECT]
[prompt3] Example 1510: label=hedgehog, prediction=Hedgehog [✓ CORRECT]
[prompt3] Example 1511: label=hedgehog, prediction=Hedgehog on mat [✓ CORRECT]
[prompt3] Example 1512: label=hedgehog, prediction=Red velvet cake [✗ WRONG]
[prompt3] Example 1513: label=hedgehog, prediction=Hedgehog [✓ CORRECT]
[prompt3] Example 1514: label=hedgehog, prediction=Hedgehog [✓ CORRECT]
[prompt3] Example 1515: label=hedgehog, prediction=Echidna, spiny anteater, puggle [✗ WRONG]
[prompt3] Example 1516: label=hedgehog, prediction=Hedgehog [✓ CORRECT]
[prompt3] Example 1517: label=hedgehog, prediction=Hedgehog in hands [✓ CORRECT]
[prompt3] Example 1518: label=hedgehog, prediction=Hedgehog [✓ CORRECT]
[prompt3] Example 1519: label=hedgehog, prediction=Hedgehog with orange ball [✓ CORRECT]
[prompt3] Example 1520: label=hedgehog, prediction=Hedgehog statue [✓ CORRECT]
[prompt3] Example 1521: label=hedgehog, prediction=Hedgehog on grass [✓ CORRECT]
[prompt3] Example 1522: label=hedgehog, prediction=Hedgehog in forest [✓ CORRECT]
[prompt3] Example 1523: label=helicopter, prediction=Helicopter flying in sky [✓ CORRECT]
[prompt3] Example 1524: label=helicopter, prediction=Helicopter [✓ CORRECT]
[prompt3] Example 1525: label=helicopter, prediction=Helicopter flying over cliffs. [✓ CORRECT]
[prompt3] Example 1526: label=helicopter, prediction=Helicopter on ground [✓ CORRECT]
[prompt3] Example 1527: label=helicopter, prediction=Helicopter with water bucket [✓ CORRECT]
[prompt3] Example 1528: label=helicopter, prediction=Helicopter on grass [✓ CORRECT]
[prompt3] Example 1529: label=helicopter, prediction=Helicopter [✓ CORRECT]
[prompt3] Example 1530: label=helicopter, prediction=Helicopter flying over car [✓ CORRECT]
[prompt3] Example 1531: label=helicopter, prediction=Helicopter flying over ocean [✓ CORRECT]
[prompt3] Example 1532: label=helicopter, prediction=helicopter [✓ CORRECT]
[prompt3] Example 1533: label=helicopter, prediction=helicopter [✓ CORRECT]
[prompt3] Example 1534: label=helicopter, prediction=helicopter [✓ CORRECT]
[prompt3] Example 1535: label=helicopter, prediction=Helicopter [✓ CORRECT]
[prompt3] Example 1536: label=helicopter, prediction=Helicopter in flight [✓ CORRECT]
[prompt3] Example 1537: label=helicopter, prediction=Helicopter with fuel tanks attached. [✓ CORRECT]
[prompt3] Example 1538: label=helicopter, prediction=helicopter [✓ CORRECT]
[prompt3] Example 1539: label=helicopter, prediction=helicopter flying [✓ CORRECT]
[prompt3] Example 1540: label=helicopter, prediction=helicopter [✓ CORRECT]
[prompt3] Example 1541: label=helicopter, prediction=helicopter [✓ CORRECT]
[prompt3] Example 1542: label=helicopter, prediction=Helicopter model [✓ CORRECT]
[prompt3] Example 1543: label=helicopter, prediction=helicopter [✓ CORRECT]
[prompt3] Example 1544: label=helicopter, prediction=Helicopter on fire [✓ CORRECT]
[prompt3] Example 1545: label=helicopter, prediction=Helicopter in flight. [✓ CORRECT]
[prompt3] Example 1546: label=helicopter, prediction=Helicopter sculpture [✓ CORRECT]
[prompt3] Example 1547: label=helicopter, prediction=Helicopter flying over water. [✓ CORRECT]
[prompt3] Example 1548: label=helicopter, prediction=Helicopter [✓ CORRECT]
[prompt3] Example 1549: label=ibis, prediction=Bird with long beak [✗ WRONG]
[prompt3] Example 1550: label=ibis, prediction=White bird with black head [✗ WRONG]
[prompt3] Example 1551: label=ibis, prediction=White bird with long legs. [✗ WRONG]
[prompt3] Example 1552: label=ibis, prediction=Red ibis bird [✓ CORRECT]
[prompt3] Example 1553: label=ibis, prediction=White bird [✗ WRONG]
[prompt3] Example 1554: label=ibis, prediction=White bird with black head [✗ WRONG]
[prompt3] Example 1555: label=ibis, prediction=White ibis bird. [✓ CORRECT]
[prompt3] Example 1556: label=ibis, prediction=White bird with red beak [✗ WRONG]
[prompt3] Example 1557: label=ibis, prediction=Bird with long beak [✗ WRONG]
[prompt3] Example 1558: label=ibis, prediction=White bird with black beak [✗ WRONG]
[prompt3] Example 1559: label=ibis, prediction=White bird with black head [✗ WRONG]
[prompt3] Example 1560: label=ibis, prediction=White bird with long beak. [✗ WRONG]
[prompt3] Example 1561: label=ibis, prediction=White bird on beach [✗ WRONG]
[prompt3] Example 1562: label=ibis, prediction=pink bird [✗ WRONG]
[prompt3] Example 1563: label=ibis, prediction=White Ibis bird. [✓ CORRECT]
[prompt3] Example 1564: label=ibis, prediction=White bird with black tail [✗ WRONG]
[prompt3] Example 1565: label=ibis, prediction=Red birds in water [✗ WRONG]
[prompt3] Example 1566: label=ibis, prediction=Black Ibis [✓ CORRECT]
[prompt3] Example 1567: label=ibis, prediction=Bird in grass [✗ WRONG]
[prompt3] Example 1568: label=ibis, prediction=White bird with black head [✗ WRONG]
[prompt3] Example 1569: label=ibis, prediction=bird in grass [✗ WRONG]
[prompt3] Example 1570: label=ibis, prediction=Black bird with long beak [✗ WRONG]
[prompt3] Example 1571: label=ibis, prediction=Bird with long beak [✗ WRONG]
[prompt3] Example 1572: label=ibis, prediction=Bird in water [✗ WRONG]
[prompt3] Example 1573: label=inline_skate, prediction=Roller skate [✗ WRONG]
[prompt3] Example 1574: label=inline_skate, prediction=roller skate [✗ WRONG]
[prompt3] Example 1575: label=inline_skate, prediction=Roller skates. [✗ WRONG]
[prompt3] Example 1576: label=inline_skate, prediction=Roller skates. [✗ WRONG]
[prompt3] Example 1577: label=inline_skate, prediction=Roller skates. [✗ WRONG]
[prompt3] Example 1578: label=inline_skate, prediction=Skates. [✗ WRONG]
[prompt3] Example 1579: label=inline_skate, prediction=Skate shoes. [✗ WRONG]
[prompt3] Example 1580: label=inline_skate, prediction=Roller skates. [✗ WRONG]
[prompt3] Example 1581: label=inline_skate, prediction=Roller skates. [✗ WRONG]
[prompt3] Example 1582: label=joshua_tree, prediction=Joshua tree [✓ CORRECT]
[prompt3] Example 1583: label=joshua_tree, prediction=Joshua tree [✓ CORRECT]
[prompt3] Example 1584: label=joshua_tree, prediction=desert landscape [✗ WRONG]
[prompt3] Example 1585: label=joshua_tree, prediction=Cactus silhouette at sunset [✗ WRONG]
[prompt3] Example 1586: label=joshua_tree, prediction=Joshua tree [✓ CORRECT]
[prompt3] Example 1587: label=joshua_tree, prediction=joshua tree [✓ CORRECT]
[prompt3] Example 1588: label=joshua_tree, prediction=joshua tree [✓ CORRECT]
[prompt3] Example 1589: label=joshua_tree, prediction=joshua tree [✓ CORRECT]
[prompt3] Example 1590: label=joshua_tree, prediction=Joshua tree [✓ CORRECT]
[prompt3] Example 1591: label=joshua_tree, prediction=joshua tree man [✓ CORRECT]
[prompt3] Example 1592: label=joshua_tree, prediction=desert landscape [✗ WRONG]
[prompt3] Example 1593: label=joshua_tree, prediction=desert sunset [✗ WRONG]
[prompt3] Example 1594: label=joshua_tree, prediction=Joshua trees [✗ WRONG]
[prompt3] Example 1595: label=joshua_tree, prediction=Joshua tree [✓ CORRECT]
[prompt3] Example 1596: label=joshua_tree, prediction=Joshua tree forest [✓ CORRECT]
[prompt3] Example 1597: label=joshua_tree, prediction=Comet Hale-Bopp [✗ WRONG]
[prompt3] Example 1598: label=joshua_tree, prediction=joshua tree night sky [✓ CORRECT]
[prompt3] Example 1599: label=joshua_tree, prediction=Joshua tree [✓ CORRECT]
[prompt3] Example 1600: label=joshua_tree, prediction=joshua tree [✓ CORRECT]
[prompt3] Example 1601: label=kangaroo, prediction=Kangaroo in grass [✓ CORRECT]
[prompt3] Example 1602: label=kangaroo, prediction=Kangaroo in field [✓ CORRECT]
[prompt3] Example 1603: label=kangaroo, prediction=kangaroo figurine [✓ CORRECT]
[prompt3] Example 1604: label=kangaroo, prediction=Kangaroo mother and baby [✓ CORRECT]
[prompt3] Example 1605: label=kangaroo, prediction=kangaroo [✓ CORRECT]
[prompt3] Example 1606: label=kangaroo, prediction=Kangaroo eating [✓ CORRECT]
[prompt3] Example 1607: label=kangaroo, prediction=Kangaroo toy [✓ CORRECT]
[prompt3] Example 1608: label=kangaroo, prediction=kangaroo [✓ CORRECT]
[prompt3] Example 1609: label=kangaroo, prediction=Kangaroo illustration [✓ CORRECT]
[prompt3] Example 1610: label=kangaroo, prediction=Kangaroo pair. [✓ CORRECT]
[prompt3] Example 1611: label=kangaroo, prediction=Kangaroo standing up [✓ CORRECT]
[prompt3] Example 1612: label=kangaroo, prediction=Kangaroo standing [✓ CORRECT]
[prompt3] Example 1613: label=kangaroo, prediction=Kangaroo in grass [✓ CORRECT]
[prompt3] Example 1614: label=kangaroo, prediction=kangaroo [✓ CORRECT]
[prompt3] Example 1615: label=kangaroo, prediction=Kangaroo in grass [✓ CORRECT]
